,sa,hi_ref,hi_pred,BLEU,CHRF++
51,न न धर्म बन्धयुक्तो मोक्षयुक्तः च न न च युक्तो पापयुक्तो ॥,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
52,पापयुक्तो धर्म बन्धयुक्तो न च युक्तो न मोक्षयुक्तः च न न ॥,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
53,यदि कल्पित लोकनिराकरणं यदि कल्पितदेवनिराकरणं ॥,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,100.00000000000004,100.0
54,कल्पित कल्पितदेवनिराकरणं लोकनिराकरणं यदि यदि ॥,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,100.00000000000004,100.0
55,यदि यदि कल्पितदेवनिराकरणं लोकनिराकरणं कल्पित ॥,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,यदि कल्पना किये हुए लोक को दूर करनेवाला है यदि कल्पना किये हुए देवताओं से अलग है यदि एक हैं और भेद रहित सबमें शिवरूप है तो गुण दोष की बुद्धि कैसे है,100.00000000000004,100.0
56,कटुत्वं चैव लोलत्वं मृदुत्वं च यथा जले प्रकृतिः पुरुषस्तद्वदभिन्नंप्रतिभाति मे,"कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है","कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है",100.00000000000004,100.0
57,प्रकृतिः कटुत्वं च पुरुषस्तद्वदभिन्नंप्रतिभाति लोलत्वं चैव यथा मे मृदुत्वं जले,"कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है","कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है",100.00000000000004,100.0
58,जले प्रकृतिः चैव यथा मृदुत्वं लोलत्वं च पुरुषस्तद्वदभिन्नंप्रतिभाति मे कटुत्वं,"कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है","कोमल पदार्थ तीखे पदार्थ गुड़ और कडवी वस्तु इनमें कडुआपन, चञ्चलता और कोमलता जल में पतलापन जैसे वर्त्तमान है उससे अलग नहीं है इसी तरह प्रकृति और पुरुष अलग नहीं है, यह मुझको मालूम होता है",100.00000000000004,100.0
59,असंशयं विद्धि निराकुलंमा मसंशयं विद्धि निरन्तरं माम् ॥,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
60,असंशयं विद्धि निरन्तरं मसंशयं माम् निराकुलंमा विद्धि ॥,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
61,असंशयं माम् विद्धि मसंशयं निरन्तरं निराकुलंमा विद्धि ॥,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,निश्चय मुझको व्याकुलता से रहित जान निश्चय मुझको व्यापक जान निश्चय मुझको मायारहित जान में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
62,स्वप्नः प्रबोधो न च योगमुद्रा नक्तं दिवा वापि न मे कदाचित् ॥,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,100.00000000000004,100.0
63,प्रबोधो नक्तं मे दिवा च कदाचित् वापि योगमुद्रा स्वप्नः न न ॥,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,100.00000000000004,100.0
64,न च दिवा वापि नक्तं योगमुद्रा मे प्रबोधो स्वप्नः कदाचित् न ॥,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,सोना और जागना ये मेरे नहीं है न योगमुद्रा है रात और दिन मेरे कभी नहीं है सुषुप्ति और समाधि का वर्णन कैसे कहूँ में मोक्षरूप हूँ और निरोग हूँ,100.00000000000004,100.0
65,मृतामृतं वापि विषाविषं च संजायते तात न मे कदाचित् ॥,हे तात ! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,हे तात! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
66,च मृतामृतं विषाविषं मे कदाचित् संजायते न वापि तात ॥,हे तात ! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,हे तात! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
67,च संजायते मृतामृतं विषाविषं न वापि मे तात कदाचित् ॥,हे तात ! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,हे तात! मरना और न मरना विष और अविष ये मेरे कभी पैदा नहीं होते हैं अशुद्ध और शुद्ध नहीं है इसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
68,भीमसेनोऽपि मांसानि भक्ष्याणि विविधानि च अतिसृष्टानि मत्स्येन विक्रीणीते युधिष्ठिरे,"भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे","भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे",100.00000000000004,100.0
69,विक्रीणीते विविधानि मांसानि च मत्स्येन अतिसृष्टानि भक्ष्याणि भीमसेनोऽपि युधिष्ठिरे,"भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे","भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे",100.00000000000004,100.0
70,भक्ष्याणि अतिसृष्टानि मत्स्येन विविधानि च विक्रीणीते मांसानि भीमसेनोऽपि युधिष्ठिरे,"भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे","भीमसेन भी नाना प्रकारके भक्ष्यभोग्य पदार्थ, जो मत्स्यनरेशद्वारा उन्हें पुरस्काररूपमें प्राप्त होते बेच देते और उससे मिला हुआ धन युधिष्ठिरकी सेवामें अर्पित करते थे",100.00000000000004,100.0
71,मनो वै गगनाकारं मनो वै सर्वतोमुखम् मनोऽतीतं मनः सर्वे न मनः परमार्थतः,मन आकाश के समान है मन चारों तरफ से मुखवाला है मन परैं है मन ही सब है वास्तव में आत्मासे अतिरिक्त कुछ नहीं है,मन आकाश के समान है मन चारों तरफ से मुखवाला है मन परैं है मन ही सब है वास्तव में आत्मासे अतिरिक्त कुछ नहीं है,100.00000000000004,100.0
72,वै परमार्थतः गगनाकारं मनो सर्वे मनः मनः मनोऽतीतं मनो सर्वतोमुखम् वै न,मन आकाश के समान है मन चारों तरफ से मुखवाला है मन परैं है मन ही सब है वास्तव में आत्मासे अतिरिक्त कुछ नहीं है,मन आकाश के समान है मन चारों तरफ से मुखवाला है मन परैं है मन ही सब है वास्तव में आत्मासे अतिरिक्त कुछ नहीं है,100.00000000000004,100.0
73,यो वै सर्वात्मकोदेवो निष्कलो गगनोपमः स्वभावनिर्मलःशुद्धः स एवाहं न संशयः,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,100.00000000000004,100.0
74,गगनोपमः निष्कलो वै स्वभावनिर्मलःशुद्धः एवाहं स यो न सर्वात्मकोदेवो संशयः,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,100.00000000000004,100.0
75,सर्वात्मकोदेवो स गगनोपमः निष्कलो एवाहं स्वभावनिर्मलःशुद्धः वै संशयः न यो,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,जो देव सबकी आत्मा है कलारहित है आकाश के समान है स्वभाव से निर्मल और शुद्ध है वही में हूं इसमें संदेह नहीं है,100.00000000000004,100.0
76,यदा पञ्चावतिष्ठन्ते ज्ञानानि मनसा सह बुद्धिश्च न विचेष्टति तामाहुः परमां गतिम्,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें ] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,100.00000000000004,100.0
77,न मनसा तामाहुः गतिम् परमां विचेष्टति ज्ञानानि यदा बुद्धिश्च पञ्चावतिष्ठन्ते सह,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें ] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,100.00000000000004,100.0
78,ज्ञानानि सह पञ्चावतिष्ठन्ते विचेष्टति परमां न बुद्धिश्च गतिम् मनसा तामाहुः यदा,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,जिस समय पाँचों ज्ञानेन्द्रियाँ मनके सहित [आत्मामें ] स्थित हो जाती हैं और बुद्धि भी चेष्टा नहीं करती उस अवस्थाको परम गति कहते हैं,100.00000000000004,100.0
79,नहि मोक्षपदं नहि बन्धपदं नहि पुण्यपदं नहि पापपदमं ॥,"न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन ! सब की तरह क्यों विलाप करता है","न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन! सब की तरह क्यों विलाप करता है",100.00000000000004,100.0
80,बन्धपदं पुण्यपदं नहि नहि नहि नहि मोक्षपदं पापपदमं ॥,"न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन ! सब की तरह क्यों विलाप करता है","न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन! सब की तरह क्यों विलाप करता है",100.00000000000004,100.0
81,पापपदमं नहि बन्धपदं मोक्षपदं नहि नहि पुण्यपदं नहि ॥,"न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन ! सब की तरह क्यों विलाप करता है","न तो मोक्ष का पद है, न बंधन का पद है, न पुण्य का पद है, न पाप का पद है, न पूरा पद है, न रीखा पद है, फिर हे मन! सब की तरह क्यों विलाप करता है",100.00000000000004,100.0
82,न शांभवं शाक्तिकमानवं न वा पिण्डं च रूपं च पदादिकं न वा ॥,न तो वह शिव का स्वरूप है न वह शाक्त है न मनुष्य है न पिंड है न रूप है न चरण से आदि लेकर उसके शरीर है न तो उसका आदि है न अंत है न घडे से आदि लेकर कोई वस्तु है ऐसे निरंतर ईश्वर आत्मा को योगी प्राप्त होता है,न तो वह शिव का स्वरूप है न वह शाक्त है न मनुष्य है न पिंड है न रूप है न चरण से आदि लेकर उसके शरीर है न तो उसका आदि है न अंत है न घडे से आदि लेकर कोई वस्तु है ऐसे निरंतर ईश्वर आत्मा को योगी प्राप्त होता है,100.00000000000004,100.0
83,शाक्तिकमानवं न वा न रूपं पदादिकं च शांभवं वा च न पिण्डं ॥,न तो वह शिव का स्वरूप है न वह शाक्त है न मनुष्य है न पिंड है न रूप है न चरण से आदि लेकर उसके शरीर है न तो उसका आदि है न अंत है न घडे से आदि लेकर कोई वस्तु है ऐसे निरंतर ईश्वर आत्मा को योगी प्राप्त होता है,न तो वह शिव का स्वरूप है न वह शाक्त है न मनुष्य है न पिंड है न रूप है न चरण से आदि लेकर उसके शरीर है न तो उसका आदि है न अंत है न घडे से आदि लेकर कोई वस्तु है ऐसे निरंतर ईश्वर आत्मा को योगी प्राप्त होता है,100.00000000000004,100.0
84,वर्तते शिवः यथा मेरुमरीचिका केवलः सर्वं अखण्डितमनाकारो इन्द्रजालमिदं,यह सब संसार इन्द्रजाल है जैसे कि मृग तृष्णा का जल झुंठा है जिसके कि टुकडे नहीं होते जिसकी कि कोई शकल नहीं है ऐसा एक शिव है,यह सब संसार इन्द्रजाल है जैसे कि मृग तृष्णा का जल झुंठा है जिसके कि टुकडे नहीं होते जिसकी कि कोई शकल नहीं है ऐसा एक शिव है,100.00000000000004,100.0
85,कृष्णा तु सर्वान् भर्ती स्तान् निरीक्षन्ती तपखिनी यथा पुनरविशता तथा चरति भामिनी,"तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके","तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके",100.00000000000004,100.0
86,पुनरविशता तपखिनी भर्ती तु स्तान् भामिनी तथा कृष्णा निरीक्षन्ती चरति सर्वान् यथा,"तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके","तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके",100.00000000000004,100.0
87,निरीक्षन्ती भामिनी तथा कृष्णा भर्ती चरति यथा सर्वान् पुनरविशता तपखिनी स्तान् तु,"तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके","तपस्विनी एवं सुन्दरी द्रौपदी भी उन सब पतियोंकी देखभाल करती हुई ऐसा बर्ताव करती, जिससे फिर कोई उसे पहचान न सके",100.00000000000004,100.0
88,अपकृष्य च लज्जां सा स्वयमुक्तवती नृप प्रयतन्तां तव प्रेष्याः पुण्यश्लोकस्य मार्गणे,नरेश्वर ! उसने लाज छोड़कर स्वयं अपने मुँह से कहा है अतः आपके सेवक पुण्यश्लोक महाराज नलका पता लगाने का प्रयत्न करें',नरेश्वर! उसने लाज छोड़कर स्वयं अपने मुँह से कहा है अतः आपके सेवक पुण्यश्लोक महाराज नलका पता लगाने का प्रयत्न करें',100.00000000000004,100.0
89,नृप अपकृष्य मार्गणे च प्रेष्याः प्रयतन्तां तव पुण्यश्लोकस्य लज्जां स्वयमुक्तवती सा,नरेश्वर ! उसने लाज छोड़कर स्वयं अपने मुँह से कहा है अतः आपके सेवक पुण्यश्लोक महाराज नलका पता लगाने का प्रयत्न करें',नरेश्वर! उसने लाज छोड़कर स्वयं अपने मुँह से कहा है अतः आपके सेवक पुण्यश्लोक महाराज नलका पता लगाने का प्रयत्न करें',100.00000000000004,100.0
90,कृपालुरकृतद्रोहस्तितिक्षुः सर्वदेहिनाम् सत्यसारोऽनवद्यात्मा समः सर्वोपकारकः,"कृपालु हो, किसी से बैर न करे, सव प्राणीयों को सहने वाला हो, सत्य सारवाला हो, शुद्ध चित्तवाला हो समान हो सब का उपकार करने वाला हो","कृपालु हो, किसी से बैर न करे, सव प्राणीयों को सहने वाला हो, सत्य सारवाला हो, शुद्ध चित्तवाला हो समान हो सब का उपकार करने वाला हो",100.00000000000004,100.0
91,न ते च माता च पिता च बंधु र्न ते च पत्नी न सुतश्च मित्रम् ॥,"न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है","न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है",100.00000000000004,100.0
92,पत्नी ते मित्रम् ते च न सुतश्च च बंधु न पिता च र्न च माता ॥,"न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है","न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है",100.00000000000004,100.0
93,च पिता र्न ते ते मित्रम् च सुतश्च न बंधु पत्नी च माता न च ॥,"न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है","न तेरे माता है, न पिता है, न बंधु है, न स्त्री है, न तेरे पुत्र है, न मित्र है, न तेरा किसी के साथ पक्षपात है न विप क्षपात है फिर चित्त में ऐसा संताप क्यों है",100.00000000000004,100.0
94, स एवमुक्तोऽथाश्वास्य आशीर्वादैः सुमङ्गलैः गृहानुपययौ चापि कृतार्थः सुमहामनाः,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,100.00000000000004,100.0
95,सुमङ्गलैः चापि  सुमहामनाः गृहानुपययौ कृतार्थः एवमुक्तोऽथाश्वास्य स आशीर्वादैः,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,100.00000000000004,100.0
96,चापि एवमुक्तोऽथाश्वास्य आशीर्वादैः स  सुमहामनाः सुमङ्गलैः कृतार्थः गृहानुपययौ,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,दमयन्तीके ऐसा कहनेपर अत्यन्त उदार हृदयवाले पर्णाद अपने परम मङ्गलमय आशीर्वादोद्वारा उसे आश्वासन दे कृतार्थ हो अपने घर चले गये,100.00000000000004,100.0
97,यथैव दिग्विपर्य्यासो मोहाद्भवति कस्यचित् तद्वदात्मनि देहत्वं पश्यत्यज्ञानयोगतः,"जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है","जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है",100.00000000000004,100.0
98,पश्यत्यज्ञानयोगतः तद्वदात्मनि मोहाद्भवति देहत्वं यथैव दिग्विपर्य्यासो कस्यचित्,"जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है","जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है",100.00000000000004,100.0
99,मोहाद्भवति देहत्वं यथैव कस्यचित् दिग्विपर्य्यासो पश्यत्यज्ञानयोगतः तद्वदात्मनि,"जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है","जैसे किसी को मोहवश दिग्भ्रम हो जाता है, वैसे ही अज्ञान के कारण मनुष्य आत्मा में देहभाव देखता है",100.00000000000004,100.0
100,सुसंयमी वा यदि वा न संयमी सुसंग्रही वा यदि वा नसंग्रही ॥,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,100.00000000000004,100.0
101,यदि नसंग्रही सुसंग्रही वा यदि न वा वा वा संयमी सुसंयमी ॥,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,100.00000000000004,100.0
102,यदि वा वा संयमी नसंग्रही यदि वा सुसंयमी सुसंग्रही न वा ॥,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,अच्छी तरह जितेन्द्री हो अथवा न हो अच्छी तरह संग्रह करने वाला हो अथवा न हो कर्म करता हो अथवा न करता हो सर्वव्यापी जो ईश्वर आत्मा है उसको प्राप्त होता है,100.00000000000004,100.0
103,नाहं कर्ता न भोक्ता च न मे कर्म पुराऽधुना न मे देहो विदेहो वा निर्ममेति ममेति किम्,"न में कर्ता हूं न भोक्ता हूं न मेरे पहिले कर्म थे न अब हैं, न मेरे देह है, न विदेह है, फिर निर्ममता और ममता कैसे हो सकते हैं","न में कर्ता हूं न भोक्ता हूं न मेरे पहिले कर्म थे न अब हैं, न मेरे देह है, न विदेह है, फिर निर्ममता और ममता कैसे हो सकते हैं",100.00000000000004,100.0
104,मे न न कर्ता मे न विदेहो देहो च किम् निर्ममेति पुराऽधुना ममेति भोक्ता नाहं वा कर्म,"न में कर्ता हूं न भोक्ता हूं न मेरे पहिले कर्म थे न अब हैं, न मेरे देह है, न विदेह है, फिर निर्ममता और ममता कैसे हो सकते हैं","न में कर्ता हूं न भोक्ता हूं न मेरे पहिले कर्म थे न अब हैं, न मेरे देह है, न विदेह है, फिर निर्ममता और ममता कैसे हो सकते हैं",100.00000000000004,100.0
